Sourcerecord ID;Source Title;Print-ISSN;E-ISSN;Titles discontinued by Scopus due to quality issues;Coverage;"2019 SJR";"2019 SNIP";"2020 SJR";"2020 SNIP";"2021 SJR";"2021 SNIP";2021 CiteScore;All Science Journal Classification Codes (ASJC);;;;;;;;;;;;;
110466;Collection of Technical Papers - AIAA/ASME/ASCE/AHS/ASC Structures, Structural Dynamics and Materials Conference;02734508;;;1993-2013, 1990, 1984-1986, 1980-1982, 1978;;;;;;;;"2210; 2211; 2202; 2500; 2216; ";;;;;;;;;;;;;
28641;Computational Studies;14626063;;;2004, 2002, 2000;;;;;;;;"2200; ";;;;;;;;;;;;;
89519;Computer Animation, Conference Proceedings;;;;2009, 2005, 2001-2002, 1999, 1997;;;;;;;;"1704; 1712; ";;;;;;;;;;;;;
23618;Computers in Cardiology;02766574;;;1995-2009, 1991-1993, 1987-1989, 1983-1985, 1979-1981, 1977;;;;;;;;"2705; 1706; ";;;;;;;;;;;;;
21100236007;Computing in Cardiology;23258861;2325887X;;2010-2019;0.296;0.413;0.257;0.371;0.257;0.297;0.9;"2705; 1700; ";;;;;;;;;;;;;
29726;Conference Digest - IEEE International Semiconductor Laser Conference;08999406;;;2018, 2016, 2014, 2012, 2010, 2008, 2006, 2004, 2002, 2000, 1998, 1996, 1994, 1992, 1990;0.190;0.258;0.168;0.295;0.175;0.147;0.8;"2208; 3107; ";;;;;;;;;;;;;
31473;Conference on Human Factors in Computing Systems - Proceedings;;;;1988-2019, 1986, 1982-1983;0.672;1.617;0.326;2.011;0.541;2.172;;"1704; 1709; 1712; ";;;;;;;;;;;;;
80086;Conference on Optical Fiber Communication, Technical Digest Series;;;;2014-2015, 2009, 1997-2005, 1994;;;;;;;;"2208; 2504; ";;;;;;;;;;;;;
99344;Conference on Quantum Electronics and Laser Science (QELS) - Technical Digest Series;;;;2007-2008, 2002-2003, 2000, 1996-1997;;;;;;;;"3100; ";;;;;;;;;;;;;
18018;Conference on Robotics and Remote Systems- Proceedings;00698644;;;2004, 1996, 1990-1991, 1986-1987, 1979-1984, 1976-1977;;;;;;;;"2208; 2200; 2104; 2207; ";;;;;;;;;;;;;
64439;Conference on Software Maintenance;;;;1993-2002, 1989-1990;;;;;;;;"1712; ";;;;;;;;;;;;;
73933;Conference Proceedings - Annual International Symposium on Computer Architecture, ISCA;10636897;;;1994-2004;;;;;;;;"1708; ";;;;;;;;;;;;;
31003;Conference Proceedings - IEEE Applied Power Electronics Conference and Exposition - APEC;;;;1992-2019;0.674;0.669;0.477;0.711;0.690;0.607;3.1;"2208; ";;;;;;;;;;;;;
12138;Conference Proceedings - International Conference on Indium Phosphide and Related Materials;10928669;;;1994-2014;;;;;;;;"2208; 2504; ";;;;;;;;;;;;;
12114;Conference Proceedings - Lasers and Electro-Optics Society Annual Meeting-LEOS;10928081;;;1992-2009, 1989-1990;;;;;0.142;0.061;0.2;"2208; 2504; ";;;;;;;;;;;;;
80264;Conference Proceedings from the International Symposium for Testing and Failure Analysis;;;;2005-2015, 1998-2002;;;;;;;;"2208; 2213; 2207; ";;;;;;;;;;;;;
20568;Conference Proceedings of the Annual ACM Symposium on Theory of Computing;07349025;;;1996-2004, 1992-1994, 1987, 1985, 1983, 1980-1981;;;;;;;;"1712; ";;;;;;;;;;;;;
18655;Conference Proceedings of the EUROMICRO;10896503;;;2009, 1999-2004, 1997, 1994;;;;;;;;"1708; 2207; ";;;;;;;;;;;;;
17898;Conference Record - IAS Annual Meeting (IEEE Industry Applications Society);01972618;;;1992-2013, 1977-1990;0.113;;;;;;0.0;"2208; 2209; 2207; ";;;;;;;;;;;;;
16401;Conference Record - IEEE Cement Industry Technical Conference;07314906;;;2008-2016, 2006, 1992-2004, 1985-1990, 1982, 1976-1980;0.104;0.000;;;;;;"2209; 2500; 2207; ";;;;;;;;;;;;;
15045;Conference Record - IEEE Instrumentation and Measurement Technology Conference;10915281;;;2019, 2013-2016, 2011, 1993-2008, 1991;0.226;0.654;;;;;0.2;"2208; ";;;;;;;;;;;;;
33201;Conference Record - International Conference on Communications;05361486;;;1989-2019, 1983-1987, 1979-1981, 1969;0.551;0.779;0.451;0.674;0.870;0.611;3.9;"2208; 1705; ";;;;;;;;;;;;;
78931;Conference Record of Industrial and Commercial Power Systems Technical Conference;;;;1999-2004, 1995-1997;;;;;;;;"2208; ";;;;;;;;;;;;;
24886;Conference Record of the Annual ACM Symposium on Principles of Programming Languages;07308566;;;1990-2017, 1975-1988, 1973;1.085;4.199;0.774;4.877;;;;"1712; ";;;;;;;;;;;;;
12222;Conference Record of the Asilomar Conference on Signals, Systems and Computers;10586393;;;2019, 1997-2017, 1992-1995, 1985;0.322;0.455;0.238;0.341;0.425;0.363;1.5;"1705; 1711; ";;;;;;;;;;;;;
17298;Conference Record of the IEEE Photovoltaic Specialists Conference;01608371;;;2019, 2015-2016, 2008-2013, 2005, 2002, 2000, 1996-1997, 1992-1994, 1990, 1984-1988, 1980-1982, 1978;0.241;0.380;0.203;0.173;0.250;0.184;0.7;"2208; 2209; 2207; ";;;;;;;;;;;;;
67387;Congress on Computing in Civil Engineering, Proceedings;;;;2017, 2015, 2011-2012, 2007, 2002, 1994-1998, 1989, 1986, 1984;0.323;0.480;0.271;0.644;;;;"1706; 2205; ";;;;;;;;;;;;;
86529;Control Systems, Preprints, Conference;;;;2004, 2000, 1996;;;;;;;;"2200; ";;;;;;;;;;;;;
52214;CPEM Digest (Conference on Precision Electromagnetic Measurements);05891485;;;2014, 2012, 2010, 2008, 2004, 2002, 2000, 1998, 1996, 1994, 1990, 1988, 1984, 1980;;0.331;;;0.130;0.600;0.6;"2208; 3105; 2504; ";;;;;;;;;;;;;
15800;DGMK Tagungsbericht;14339013;;;2001-2019, 1999;0.121;0.093;0.103;0.074;0.119;0.038;0.2;"2102; 2103; ";;;;;;;;;;;;;
29506;Diffusion and Defect Data Pt.B: Solid State Phenomena;10120394;;;1997-2000;;;;;;;;"3101; 3104; 2500; 2504; ";;;;;;;;;;;;;
23734;Digest of Papers - COMPCON - IEEE Computer Society International Conference;10636390;;;1996-1997, 1991-1992, 1989, 1987, 1978-1981;0.125;;;;;;;"1708; ";;;;;;;;;;;;;
25032;Digest of Papers - IEEE Symposium on Mass Storage Systems;10519173;;;2003, 1999, 1992-1995, 1990, 1987-1988, 1984-1985, 1982;;;;;;;;"1708; ";;;;;;;;;;;;;
26010;Digest of Technical Papers - IEEE International Conference on Consumer Electronics;0747668X;;;2011-2014, 2005-2009, 1993-2002, 1984;;;;;0.268;0.458;0.9;"2208; 2209; ";;;;;;;;;;;;;
26020;Digest of Technical Papers - IEEE International Solid-State Circuits Conference;01936530;;;2000-2019, 1992-1998, 1981-1990, 1975-1979, 1972-1973, 1966-1968, 1958-1964;3.595;2.866;3.447;2.747;4.793;2.591;12.4;"2208; 2504; ";;;;;;;;;;;;;
14937;Digest of Technical Papers - Symposium on VLSI Technology;07431562;;;2003-2019, 1982-2000;1.315;1.626;1.190;1.554;0.958;1.335;5.6;"2208; ";;;;;;;;;;;;;
55739;Digest of Technical Papers-IEEE International Pulsed Power Conference;;;;2015, 2013, 2011, 2007, 2005, 2003, 1999, 1997, 1995;;;;;;;;"2208; 2102; ";;;;;;;;;;;;;
99585;Digests of the Intermag Conference;00746843;;;2002-2003, 1999-2000, 1984;;;;;;;0.0;"2208; ";;;;;;;;;;;;;
21100795900;E3S Web of Conferences;;22671242;;2013-2020;0.166;0.457;0.203;0.622;0.237;0.364;0.8;"1900; 2100; 2300; ";;;;;;;;;;;;;
3400148107;ECS Transactions;19385862;19386737;;2005-2019;0.233;0.292;0.235;0.273;0.206;0.267;1.0;"2200; ";;;;;;;;;;;;;
96562;Electrical Contacts, Proceedings of the Annual Holm Conference on Electrical Contacts;03614395;;;2019, 2015-2017, 2005-2012, 1992-2003, 1988-1990, 1979-1983;0.294;0.713;0.200;0.613;0.273;0.350;0.7;"2208; 2504; ";;;;;;;;;;;;;
21100244944;Electronic Proceedings in Theoretical Computer Science, EPTCS;20752180;;;2009-2020;0.327;0.557;0.338;0.765;0.366;0.648;1.3;"1712; ";;;;;;;;;;;;;
17700156736;Energy Procedia;18766102;;;2009-2019;0.545;0.785;0.474;1.103;0.533;0.960;;"2100; ";;;;;;;;;;;;;
58092;Environment Canada Arctic and Marine Oil Spill Program Technical Seminar (AMOP) Proceedings;;;;1998-2008;;;;;;;;"2212; 2300; 2102; 1500; ";;;;;;;;;;;;;
21100227410;EPJ Web of Conferences;21016275;2100014X;Discontinued by Scopus;2009-2018;0.184;0.336;;0.364;;0.236;;"3100; ";;;;;;;;;;;;;
27179;European Space Agency, (Special Publication) ESA SP;03796566;;;2000-2016, 1996-1998, 1989-1990, 1979-1987;0.146;0.098;;;;;;"1912; 2202; ";;;;;;;;;;;;;
88444;Festkoerperprobleme;04303393;;;1984, 1980-1982, 1976-1978;;;;;;;;"2200; ";;;;;;;;;;;;;
53499;Forensic Engineering, Proceedings of the Congress;;;;2009-2010, 2007, 2003, 2000, 1997;;;;;;;;"2200; 2734; ";;;;;;;;;;;;;
100222;Gastech Conference Proceedings;;;;2005-2006, 2002, 2000;;;;;;;;"2100; ";;;;;;;;;;;;;
27028;Geotechnical Special Publication;08950563;;;1987-2020;0.245;0.244;0.258;0.295;0.278;0.354;0.8;"1909; 2215; 2216; 2205; ";;;;;;;;;;;;;
14542;Hardware/Software Codesign - Proceedings of the International Workshop;10926100;;;1996-2003, 1994;;;;;;;;"1708; ";;;;;;;;;;;;;
81640;Hart World Fuels Conference;;;;2002-2004;;;;;;;;"2100; ";;;;;;;;;;;;;
35976;IATUL Proceedings;00188476;;;2002, 1982-1983, 1980, 1977;;;;;;;;"3309; ";;;;;;;;;;;;;
110547;ICIASF Record, International Congress on Instrumentation in Aerospace Simulation Facilities;07302010;;;2007, 2005, 2003, 2001, 1999, 1997, 1995, 1991, 1989, 1987, 1985, 1983;;;;;;;;"3104; 2202; 3105; ";;;;;;;;;;;;;
56670;IECON Proceedings (Industrial Electronics Conference);;;;1993-2014, 1989-1991;;0.679;0.148;0.267;0.252;0.350;0.9;"2208; 2207; ";;;;;;;;;;;;;
34914;IEE Conference Publication;05379989;;;2004-2005, 1973-2002, 1970-1971, 1923-1923;0.101;;;;;;;"2208; ";;;;;;;;;;;;;
75113;IEEE Aerospace Conference Proceedings;1095323X;;;2000-2019, 1998;0.371;0.884;0.359;0.754;0.325;0.613;1.8;"1912; 2202; ";;;;;;;;;;;;;
88865;IEEE AFRICON Conference;21530025;21530033;;2015, 2013, 2011, 2009, 2007, 2004, 2002, 1999, 1996, 1992;;;0.104;0.110;0.158;0.256;0.5;"2208; 1706; ";;;;;;;;;;;;;
23381;IEEE Annual International Carnahan Conference on Security Technology, Proceedings;;;;1999-2003, 1994-1996;;;;;;;;"2200; ";;;;;;;;;;;;;
144855;IEEE Asia-Pacific Conference on Circuits and Systems, Proceedings, APCCAS;;;;2015, 2012, 2010, 2008, 2006, 2004, 2002;;;;;;;;"2208; ";;;;;;;;;;;;;
96648;IEEE Conference on Human Factors and Power Plants;;;;2007, 2002, 1997, 1988;;;;;;;;"2208; ";;;;;;;;;;;;;
77635;IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC;;;;2015, 1999-2013, 1997;;;;;;;;"1706; 2210; 2203; ";;;;;;;;;;;;;
97855;IEEE Conference Record of Annual Pulp and Paper Industry Technical Conference;01902172;;;1986-2018, 1977-1984;0.160;1.211;0.109;0.514;0.106;0.017;0.4;"2208; 2209; ";;;;;;;;;;;;;
56052;IEEE Engineering Society, Winter Meeting;;;;1999;;;;;;;;"2200; ";;;;;;;;;;;;;
26108;IEEE High-Performance Computer Architecture Symposium Proceedings;15300897;;;2004, 1995-2001;;;;;;;;"1708; ";;;;;;;;;;;;;
70642;IEEE Intelligent Vehicles Symposium, Proceedings;;;;2003-2015, 2000, 1996;;;;;;;;"1706; 2203; 2611; ";;;;;;;;;;;;;
38572;IEEE International Conference on Conduction and Breakdown in Dielectric Liquids, ICDL;;;;2002, 1999, 1996;;;;;;;;"2200; 2500; ";;;;;;;;;;;;;
110565;IEEE International Conference on Fuzzy Systems;10987584;;;2017-2019, 2011-2015, 1994-2009;0.271;0.553;0.280;0.562;0.352;0.526;1.9;"2604; 1702; 1712; 2614; ";;;;;;;;;;;;;
92868;IEEE International Conference on Image Processing;;;;1995-2003;;;;;;;;"2208; 1707; 1708; ";;;;;;;;;;;;;
66854;IEEE International Conference on Intelligent Robots and Systems;;;;2011-2019, 2006-2007, 1995-2003, 1992-1993, 1988-1989;0.897;1.131;0.597;1.113;1.117;0.988;3.9;"1706; 1707; 1712; 2207; ";;;;;;;;;;;;;
79800;IEEE International Conference on Microelectronic Test Structures;;;;1993-2019, 1988;0.226;0.446;0.243;0.537;0.177;0.283;1.4;"2208; ";;;;;;;;;;;;;
110573;IEEE International Conference on Neural Networks - Conference Proceedings;10987576;;;2006-2007, 2004, 1993-1998;;;;;;;;"1712; ";;;;;;;;;;;;;
17262;IEEE International Conference on Plasma Science;07309244;;;2009, 1998-2004, 1996, 1994;;0.001;;0.000;0.100;0.000;0.0;"2208; 3104; 3107; ";;;;;;;;;;;;;
20300195002;IEEE International Conference on Rehabilitation Robotics;19457898;19457901;;2019, 2017, 2015, 2013, 2011;0.375;0.833;0.298;0.801;0.329;0.709;;"2208; 2742; 2207; ";;;;;;;;;;;;;
145233;IEEE International Conference on Software Maintenance, ICSM;;;;2003-2013, 2001;;;;;;;;"1712; ";;;;;;;;;;;;;
53838;IEEE International Engineering Management Conference;;;;2000-2008, 1998, 1993-1996;;;;;;;;"1803; 2200; ";;;;;;;;;;;;;
13746;IEEE International Performance, Computing and Communications Conference, Proceedings;10972641;;;2000-2004, 1997-1998;;;;;;;;"2214; ";;;;;;;;;;;;;
110577;IEEE International Professional Communication Conference;;;;2015-2019, 1999-2013, 1995-1997;0.227;0.439;0.220;0.342;0.125;0.072;0.7;"2200; 3315; ";;;;;;;;;;;;;
110579;IEEE International SOI Conference;1078621X;;;1992-2012;;;;;;;;"2208; 2504; ";;;;;;;;;;;;;
28024;IEEE International Symposium on Applications of Ferroelectrics;;;;2005-2009, 2002, 2000, 1998, 1996, 1994;;;;;;;;"2208; 2504; ";;;;;;;;;;;;;
17274;IEEE International Symposium on Electromagnetic Compatibility;10774076;21581118;;1993-2019, 1989-1991, 1985-1987, 1979-1983;0.158;0.253;0.149;0.459;0.188;0.338;;"2208; 3104; ";;;;;;;;;;;;;
26021;IEEE International Symposium on Electronics and the Environment;;;;1993-2008;;;;;;;;"2208; 2310; 2311; 2305; ";;;;;;;;;;;;;
26129;IEEE International Symposium on High Performance Distributed Computing, Proceedings;10828907;;;2011, 2009, 1999-2006, 1995-1997, 1992-1993;;;;;;;;"1705; 1712; ";;;;;;;;;;;;;
110567;IEEE International Symposium on Information Theory - Proceedings;21578095;;;1997-2019, 1994-1995, 1991, 1972;0.910;0.865;0.600;0.687;0.872;0.676;2.5;"2604; 2611; 1710; 2614; ";;;;;;;;;;;;;
110569;IEEE International Symposium on Intelligent Control - Proceedings;;;;2015, 2013, 2010-2011, 2008, 2006, 1994-2004, 1992;;;;;;;;"2208; 1706; 2611; 2207; ";;;;;;;;;;;;;
19542;IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC;;;;2000-2015, 1995-1998;;;;;;;;"2208; ";;;;;;;;;;;;;
26165;IEEE International Symposium on Power Semiconductor Devices and ICs (ISPSD);;;;1994-2004;;;;;;;;"2208; ";;;;;;;;;;;;;
17315;IEEE International Symposium on Semiconductor Manufacturing Conference, Proceedings;1523553X;10788743;;2019, 2017, 1992-2014;0.123;0.007;0.208;0.274;0.314;0.232;0.5;"2208; 2209; 2200; 2504; ";;;;;;;;;;;;;
25589;IEEE International Test Conference (TC);10893539;;;2019, 2015-2017, 1995-2013, 1992, 1989;0.355;1.354;0.219;0.501;0.442;0.604;1.0;"2604; 2208; ";;;;;;;;;;;;;
17280;IEEE MTT-S International Microwave Symposium Digest;0149645X;;;2016-2019, 1987-2014, 1983-1985, 1980-1981, 1976;0.637;0.723;0.492;0.663;0.808;0.645;2.9;"2208; 3104; 3108; ";;;;;;;;;;;;;
110583;IEEE National Radar Conference - Proceedings;10975659;;;2009-2015, 1995-2007;;;;;0.214;0.416;0.6;"2208; ";;;;;;;;;;;;;
90890;IEEE Nuclear Science Symposium Conference Record;10957863;;;2000-2013;;;;;;;;"2741; 3106; 3108; ";;;;;;;;;;;;;
18209;IEEE Pacific Rim Conference on Communications, Computers and Signal Processing Conference Proceedings;;;;2015, 2013, 2011, 2009, 2007, 2005, 2003, 2001, 1999, 1997, 1995, 1993, 1991, 1987;;;;;;;;"1705; 1711; ";;;;;;;;;;;;;
65469;IEEE Radio Frequency Integrated Circuits Symposium, RFIC, Digest of Technical Papers;10972633;;;1997-2019;1.731;1.081;1.338;1.076;2.201;1.040;5.0;"2200; ";;;;;;;;;;;;;
31517;IEEE Region 10 Annual International Conference, Proceedings/TENCON;21593442;21593450;;2015-2019, 2002-2013, 1999-2000, 1995-1997, 1991-1993;0.169;0.415;0.178;0.369;0.236;0.299;1.4;"2208; 1706; ";;;;;;;;;;;;;
60409;IEEE Semiconducting and Semi-Insulating Materials Conference, SIMC;;;;2005, 2002, 1999-2000, 1996;;;;;;;;"2200; ";;;;;;;;;;;;;
70843;IEEE Signal Processing Workshop on Statistical Signal and Array Processing, SSAP;;;;2000, 1998, 1996;;;;;;;;"2200;";;;;;;;;;;;;;
68673;IEEE Symposium on VLSI Circuits, Digest of Technical Papers;;;;2017-2019, 1994-2015;2.257;1.776;1.755;1.189;2.537;0.990;4.1;"2208; 2504; ";;;;;;;;;;;;;
96278;IEEE Symposium Record on Network Operations and Management Symposium;;;;2006, 2004, 2002, 2000, 1998, 1996, 1994;;;;;;;;"2208; 1708; ";;;;;;;;;;;;;
23922;IEEE Vehicular Technology Conference;15502252;;;1981-2019, 1975, 1970-1971, 1967-1968;0.341;0.494;0.277;0.426;0.459;0.410;2.3;"2604; 2208; 1706; ";;;;;;;;;;;;;
51882;IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers;10923152;;;2015-2019, 1995-2013;0.576;1.350;0.501;1.372;0.910;1.131;4.1;"1704; 1706; 1712; ";;;;;;;;;;;;;
73004;IEEE/ASME International Conference on Advanced Intelligent Mechatronics, AIM;;;;2014-2015, 2007-2012, 2005, 2003, 2001, 1999, 1997;;;;;;;;"2208; 1706; 1712; 2207; ";;;;;;;;;;;;;
85564;IFAC Proceedings Series;07411146;;;1989-1990, 1984-1987, 1979;;;;;;;;"2200; ";;;;;;;;;;;;;
19400157277;IFMBE Proceedings;16800737;;;2006-2020;0.158;0.226;0.152;0.260;0.165;0.155;0.9;"2204; 1502; ";;;;;;;;;;;;;
20403;IMechE Event Publications;13561448;;;2003-2004;;;;;;;;"2200; ";;;;;;;;;;;;;
