Keyword;Count
example based;12
human-ai interaction;8
online platforms;1
sketch recognition;1
training sets;1
behavioral research;20
computational linguistics;3
algorithmic explanation;1
computational model;3
data representations;3
natural languages;38
rationale generation;1
user perceptions;9
health care;26
clinical practices;8
evaluation strategies;1
example-based methods;1
model-based opc;11
provide guidances;3
quantitative evaluation;4
data quality;5
nomenclature;1
physician;3
quantitative analysis;4
health care delivery;5
delivery of health care;5
philosophical aspects;21
black-box model;42
model transparency;5
understanding;2
common ground;1
conceptual model;2
computer science;4
computers;9
conditional expectation;3
feature effect;1
feature importance;9
importance measure;2
marginal contribution;2
partial dependence;1
variable importances;5
reinforcement learning;33
and splits;1
classification tasks;24
feature relevance;7
general publics;4
image source;1
r-l models;1
user experience;8
diabetes self-management;1
or-causality;1
single decision;3
user evaluations;6
users' experiences;10
denial-of-service attack;3
process monitoring;7
anomaly detection;32
anomaly detection systems;2
anomaly detector;2
denial of service;1
health assessments;1
industrial processs;4
online processing;1
explicability;1
human control;1
microsoft;1
potential harm;1
evidence-based;3
generation method;5
interdisciplinary research;1
systematic literature review;4
theoretical approach;1
iterative methods;14
appropriate designs;1
artificial intelligence systems;40
design and evaluations;5
design evaluation;3
design goal;1
evaluation methods;4
human-computer interaction;1
labeled data;2
clinical history;1
domain knowledge;30
medical ontology;1
sequential data;2
sequential data classifications;1
structured background;1
temporal dimensions;2
text processing;17
active learning;4
interactive learning;3
interactive machine learning;8
user study;39
deep neural networks;109
industrial electronics;2
intrusion detection;9
cyber security;12
experimental evaluation;6
intrusion detection systems;10
misclassifications;8
multi-layer perceptron classifiers;1
relevant features;7
vulnerability assessments;1
man machine systems;12
multi agent systems;26
robots;2
autonomous systems;10
human-robot-team;1
partially observable markov decision problems;1
pomdps;1
quantitative reasoning;1
forecasting;142
online systems;2
making decision;2
on-line experiments;3
sociotechnical systems;6
think aloud;2
data mining;40
automated decision making;15
european union;3
prediction model;8
research activities;3
research challenges;7
software design;4
conversational interface;3
main group;1
multiple applications;2
user-centered;4
classification (of information);48
information systems;13
supervised learning;11
automated systems;5
classification algorithm;13
human-machine collaboration;1
individual differences;2
information visualization;6
performance feedback;1
visual representations;1
face recognition;7
intelligent computing;9
lime;144
malware;7
medical applications;8
sensitivity analysis;6
sentiment analysis;14
speech recognition;8
biomedical signal;1
malware classifications;2
natural language processing;28
tumor classification;1
object recognition;11
program debugging;7
computational results;1
learning actions;1
reasoning process;5
reinforcement learning models;5
reinforcement learning neural network;1
software debugging;1
ai technologies;10
assistive technology;1
decision makers;8
decision support tools;4
text classification;7
computer aided language translation;2
action representations;1
game environment;1
machine translations;2
natural language explanations;13
mixed method;2
team performance;3
autonomous driving;8
banking and finance;1
conveying safety;1
historical perspective;1
knowledge based;4
symbolic learning;4
imaging techniques;1
neurodegenerative diseases;10
transfer learning;10
turing machines;18
early diagnosis;4
interpretability and accuracy;1
parkinson's disease;1
visual indicators;1
ioflupane i 123;1
adult;15
controlled study;34
diagnostic imaging;20
disease classification;5
local interpretable model agnostic explanation;5
major clinical study;21
male;37
mathematical model;1
medical personnel;1
middle aged;10
parkinson disease;2
prediction;32
single photon emission computed tomography;4
image segmentation;35
group users;1
heatmap;1
image features;3
research efforts;6
saliency map;28
embedded systems;8
collective action;1
design elements;1
design spaces;3
human-human interactions;1
organizational context;1
organizational levels;1
social transparencies;1
population statistics;9
statistical tests;8
support vector machines;27
demographic data;1
evaluation metrics;11
random forests;40
blockchain;4
computer architecture;3
digital storage;12
engineering education;3
computational power;4
consensus;1
decentralized consensus;1
decision-making systems;15
machine learning technology;2
reputation;1
conventional approach;4
elicitation;1
highly accurate;6
meaningful explanation;1
prediction accuracy;10
supervised classification;3
alzheimer disease;5
biological model;3
brain;9
clinical trial;3
factual database;2
follow up;7
multicenter study;2
neuroimaging;3
nuclear magnetic resonance imaging;12
randomized controlled trial;2
very elderly;2
aged;15
aged, 80 and over;1
databases, factual;2
follow-up studies;1
magnetic resonance imaging;17
models, neurological;1
argumentation frameworks;11
automatically generated;8
computational argumentation;6
empirical evaluations;10
multi attribute decision making;1
multi-attribute decisions;1
natural language generation;16
open source software;9
open systems;11
computation complexity;1
data-driven methods;8
fine grained;7
in-depth analysis;2
local interpretation;8
model-driven method;1
deep neural network;11
convolution;31
convolutional neural networks;52
cutting;1
large dataset;13
explosive growth;3
information loss;1
real-world datasets;5
text information;1
economic and social effects;17
belief rule base;1
evidential reasoning;1
hierarchical structures;1
loan underwriting;1
optimization algorithms;1
underwriting process;1
debris flow;1
drought;5
flooding;2
future prospect;1
hazard assessment;2
landslide;2
logistic regression;6
breast cancer data;1
classification models;28
false negatives;3
important features;19
running injuries;1
fuzzy inference;14
fuzzy neural networks;8
activation mapping;11
adaptive network based fuzzy inference system;1
bearing fault;2
short time fourier transforms;1
vibration signal;2
explainable-ai-evaluation;1
quality metrics;2
rigorous evaluation;2
verification method;1
verification techniques;1
cognitive model;3
computational cognitive modeling;1
computational system;2
human-machine;5
synthetic models;1
work system;2
case-based reasoner;1
feature weight;2
feature weighting;5
nearest neighbour;1
presence/absence;1
system level evaluation;1
systems approach;3
energy dispersive x ray analysis;1
x ray diffraction analysis;1
data driven;12
design activity;1
design and implements;1
high-fidelity;1
imaging analysis;1
low fidelities;3
point of departures;2
photovoltaic cells;1
smart power grids;3
solar energy;2
solar power generation;1
solar power plants;1
application fields;1
artificial intelligence tools;3
forecasting models;4
load forecasting;4
smart grid applications;1
solar photovoltaic power generations;1
solar photovoltaics;1
solar-pv energies;1
ai planning;5
automated planning;4
delivery mechanism;2
focus areas;1
human-in-the-loop;15
gain insight;6
human-level performance;2
input parameter;2
recurrent neural networks;14
feed-forward network;1
lstm;4
modeling and forecasting;1
theoretical framework;3
hierarchical clustering;2
hierarchical systems;3
artificial intelligent;8
body of knowledge;3
evaluation approach;2
objective metrics;2
scientific materials;1
scientific studies;1
systematic review;8
data handling;10
automatic tools;2
blood test;2
coronaviruses;2
covid–19;1
criteria graph;1
learning classifiers;4
machine learning techniques;22
on-machines;11
alanine aminotransferase;1
aspartate aminotransferase;2
c reactive protein;2
creatinine;3
hemoglobin;2
lactate dehydrogenase;2
potassium;2
sodium;4
urea;2
alanine aminotransferase blood level;1
area under the curve;7
aspartate aminotransferase blood level;1
basophil count;1
binary classification;11
blood examination;2
coronavirus disease 2019;5
creatinine blood level;2
data processing;2
decision tree;11
diagnostic accuracy;13
diagnostic test accuracy study;13
electronic health record;3
enterovirus infection;1
eosinophil count;1
erythrocyte count;1
false negative result;1
hematocrit;2
influenza a;1
influenza b;1
lactate dehydrogenase blood level;1
leukocyte count;1
lymphocyte count;1
mean corpuscular hemoglobin;1
mean corpuscular volume;1
mean platelet volume;1
monocyte;1
nested cross validation;1
neutrophil count;1
parainfluenza virus infection;1
platelet count;3
potassium blood level;1
random forest;14
real time polymerase chain reaction;1
receiver operating characteristic;15
red blood cell distribution width;1
reference value;1
respiratory tract infection;1
sensitivity and specificity;8
sodium blood level;1
urea blood level;1
brazil;2
covid-19;27
hematologic tests;1
cognition;4
decisions makings;47
forcing function;1
forcings;2
need for cognitions;2
simple++;14
support tool;3
uncertainty analysis;4
common models;1
comparative studies;2
controlled experiment;4
domain expertise;2
forest cover;1
model uncertainties;1
causal reasoning;2
nanophotonics;1
absorption peaks;1
conventional optimization;1
design optimization;1
electromagnetic response;1
metal dielectrics;1
nanophotonic structures;1
optimized devices;1
physical mechanism;1
complex model;9
trade off;10
job analysis;14
location;2
neurons;3
architectural changes;1
deep convolutional neural networks;1
gradient computation;1
supervised localization;2
task analysis;17
vision applications;1
vision research;1
visual explanations;1
attribution methods;1
gradient based;9
gradient informations;1
network prediction;2
intelligent agents;27
cognitive engineering;1
confidence measure;2
design patterns;1
generic frameworks;1
human-agent teamwork;2
information processing capability;1
interaction design patterns;2
multimodal communications;1
ai and law;1
legal reasoning;1
interactive intelligent systems;1
pipelines;7
automatic charts;1
natural language questions;1
question answering;14
template-based approaches;1
visual attributes;2
visual encodings;1
case based reasoning systems;3
generic solutions;1
road mapping;1
professional life;1
quality criteria;2
research opportunities;4
stakeholder groups;2
auto encoders;26
explainable ai (xai);13
large amounts;1
local linear;3
weighting functions;1
computer aided instruction;6
data science;6
e-learning;6
education computing;6
students;12
artificial intelligence techniques;14
educational data mining;2
educational process;1
learning materials;1
open universities;1
virtual learning environments;2
virtual learning environments (vles);1
argon;1
bromine;1
chlorine;1
dimer;1
fluorine;1
halide;1
oxygen;1
peroxide;1
superoxide;1
calculation;1
chemical reaction;1
electronics;1
infrared spectroscopy;1
photolysis;1
engineers;1
fiber reinforced plastics;1
forestry;23
laminated composites;1
case-studies;22
engineering disciplines;2
engineering domains;1
fiber-reinforced polymers;1
fibre reinforced polymers;1
interpretable machine learning;32
parallel engineering;1
chemical activation;3
empirical studies;13
object localization;3
principal components;2
principle component;1
state-of-the-art methods;8
causal discovery;3
causal inferences;4
counterfactual inference;1
instructive variables;1
negative control;1
treatment effects;1
abductive reasoning;1
logic-based approach;2
rigorous approach;1
fatml;1
shapley value;25
surrogate;1
pathology;7
convolutional neural network;78
human expert knowledge;1
lymph node metastasis;5
machine learning literature;1
medical annotation;1
medical data;6
segmentation algorithms;1
whole slide images;1
health;9
emotion recognition;2
facial expressions;2
learning procedures;1
non-linear relationships;2
pain recognition;1
target class;4
computer aided diagnosis;10
condition monitoring;1
failure analysis;6
feature extraction;21
rotating machinery;1
signal detection;3
anomaly-detection algorithms;3
condition;16
fault detection and diagnosis;4
faults detection;4
faults diagnosis;4
production process;3
shapley;57
effectiveness and efficiencies;1
heuristic search algorithms;1
high-dimensional;6
model prediction;16
non-linear model;6
novel algorithm;4
predictive systems;1
information theory;2
changing environment;1
coalition operations;1
communication modeling;1
literature reviews;6
long-term interaction;2
military scenarios;1
adversarial learning;4
detection accuracy;3
detection methods;3
different attacks;1
generalization ability;1
prevention methods;1
real-world problem;4
case base;3
case based;9
new case;2
fuzzy sets;7
web services;3
automatic generation;5
confusion matrices;1
quality indicators;2
rule induction algorithms;1
weka;1
black box algorithms;7
health-care decisions;2
high impact;2
input image;10
neural network predictions;3
object class;2
distributed computer systems;1
electric power system control;3
electric power transmission networks;4
electronic trading;2
operations research;1
autonomous intelligent systems;1
behavioural cloning;1
correct error;1
load balance;1
power grids;2
rough terrains;1
argumentative models;1
delivery methods;2
desirable features;1
lay-out;2
roadmap;2
domain-specific knowledge;1
human problem solving;1
predictive diagnostics;1
prototype learning;1
recurrent neural network (rnns);2
sequence data;1
computer graphics;6
computer interface;1
theoretical model;2
models, theoretical;1
robot programming;6
decision making agents;2
generation algorithm;1
model reconciliation;5
search and rescue;1
semi-autonomous robots;1
social properties;1
education;3
knowledge based systems;13
controlled laboratories;1
fuzzy inference systems;4
language translation;1
learning network;3
recursive neural networks;1
sensor fusion;2
free texts;2
model domains;1
neural network model;17
image classification;31
sampling;2
colorectal cancer;2
colorectal cancer diagnosis;1
diagnosis tools;1
histopathological images;3
machine learning approaches;13
mathematical structure;1
image enhancement;15
artificial neural network;12
cancer diagnosis;2
classifier;12
explainable classifier;1
fuzzy system;2
medical decision making;4
semantics;82
colorectal tumor;1
pathologist;1
social responsibility;1
colorectal neoplasms;1
pathologists;1
adversarial examples;2
contrastive explanation;6
deep nets;1
empirical foundations;1
recent researches;10
self explanations;4
user driven;1
automated tutoring;1
behavior;1
computer-generated forces;1
simulation;3
case report;1
clinical article;6
cohort analysis;14
cutaneous parameters;1
gastrointestinal tract;1
human tissue;3
hydration;1
leg;1
microbial community;1
microbiome;1
non invasive measurement;1
nonhuman;4
people by smoking status;1
phenotype;5
postmenopause;1
respiratory system;1
vagina;1
aging;6
biodiversity;4
biology;2
data analysis;2
menopause;3
metagenome;2
metagenomics;2
microbiology;1
microflora;1
skin;2
smoking;2
young adult;2
computational biology;2
microbiota;1
smokers;1
carbon;2
gas adsorption;1
physisorption;1
pore size;1
porous materials;1
brunauer-emmett-teller surface areas;1
datapoints;4
hydrogen uptake;1
porous carbon materials;1
porous carbons;1
property;20
shapley additive explanation;31
orthopedics;1
descriptive statistics;2
forms of representation;1
gait classification;2
inertial measurement unit;1
model interpretations;12
total hip arthroplasty;1
arthroplasty;1
biomechanics;1
gait;7
hip replacement;1
knee;1
arthroplasty, replacement, hip;1
biomechanical phenomena;1
knee joint;1
functions;1
integration of knowledge;1
knowledge graphs;26
knowledge matching;1
mathematical functions;1
neural-symbolic integration;3
semantic technologies;3
technical solutions;1
explanation systems;14
participatory design;4
research questions;11
socio-technical approach;1
technical advancement;1
technology designs;1
value sensitive design;2
contraindication;1
laser epithelial keratomileusis;1
multiclass classification;2
ophthalmologist;4
data distribution;4
empirical distributions;2
expected values;2
game-theoretic;5
individual features;2
logistics regressions;6
naive bayes;4
community is;3
security properties;1
threat models;1
mean square error;8
mixtures;1
sandwich structures;1
construction sites;1
dependent variables;1
innovative approaches;5
mean squared error;2
random characteristics;1
stabilised rammed earths;1
sustainable construction;1
cognitive loads;4
empirical measurement;2
generalized additive model;3
graph comprehensions;1
simulation studies;2
professional aspects;1
high school students;1
multi-modal;17
science , technology , engineering and mathematics;1
strategic plan;1
strategic technologies;2
clustering algorithms;7
convolutional codes;1
unsupervised learning;3
clustering;2
clustering results;2
clustering techniques;1
data characteristics;1
high dimensional data;7
learning based models;1
network measurement;1
unsupervised network;1
real time systems;7
web browsers;1
abstraction level;1
information foraging;4
real time strategies;2
real-time strategy games;3
rts games;1
starcraft;3
strategy games;1
corpus analysis;1
generative process;1
post processing;1
research fields;13
statistics;5
autoencoders;5
explainable black-box model;1
outlier detection algorithm;1
reconstruction error;2
time-consuming tasks;1
legislative changes;1
numerical model;3
awareness;1
beware explanation;1
cost;1
ecosystem resilience;1
antennas;3
photomapping;1
remote sensing;5
textures;10
classification approach;2
ecological balance;1
overall accuracies;3
remote sensing image classification;1
spectral characteristics;1
spectral properties;1
urban heat island effects;1
vegetation mapping;1
vegetation;2
city;2
heat;2
cities;2
hot temperature;2
competition;1
cost effectiveness;2
medical computing;9
alzheimer's disease;2
competitive advantage;1
computer aided-approach;1
diagnostic performance;1
disease progression;3
mild cognitive impairments (mci);1
spatial informations;1
noise abatement;1
cross validation;5
dynamic domains;1
estrogen receptor;1
new approaches;6
noise reduction algorithms;1
receiver operating characteristic curves;1
regions of interest;2
decision tree classifiers;5
feature space;6
local decisions;3
machine learning communities;3
social categories;1
social ontology;1
random processes;2
comparison methods;1
complex relationships;4
highly-correlated;1
individual prediction;11
random perturbations;1
subjective evaluations;1
exploratory case studies;1
organizational setting;1
performance benefits;2
sociotechnical;4
technical factors;1
confidence estimation;1
confidence values;2
decision support system (dss);6
modeling behaviour;7
multiple data sets;1
health care personnel;4
hospital mortality;4
information processing;4
pediatric intensive care unit;1
qualitative research;3
child;12
focus groups;2
health personnel;3
intensive care units, pediatric;1
ethical aspects;2
risk management;3
robustness (control systems);3
epistemology;1
methodology;5
objectivity;1
philosophy;1
genetic programming;4
multiobjective optimization;3
network layers;7
evolutionary multi-objectives;1
global modeling;1
multi objective;3
particular algorithms;1
repair;1
catastrophic failures;2
collaborative tasks;4
human performance;3
human-robot collaboration;5
model corrections;1
shared mental model;1
task executions;1
recommender systems;16
comprehensive model;2
content-based recommendation;2
high transparency;1
recommendation algorithms;4
user satisfaction;5
cost effective;1
intelligence models;19
is costs;1
metric;4
wide spectrum;1
requirements engineering;4
clinical decision support systems;5
development process;3
human-centered designs;4
interaction design;7
multi-modal interactions;1
requirements elicitation;2
computerized tomography;5
clinical diagnostics;1
comparison study;1
executive board;1
granular informations;1
industrial sector;1
regulatory agencies;1
treatment management;1
critical domain;6
ensemble models;10
global solutions;2
state-of-the-art performance;10
biogeography;1
ecological modeling;1
elephant;1
environmental gradient;1
spatiotemporal analysis;1
salient features;2
ordo;1
optimal parameter settings;1
visual exploration;1
climate change;7
digital arithmetic;1
planning;2
sustainable development;5
exascale computing;2
floating point operations per seconds;1
human population growth;1
plant biology;1
research groups;1
sustainable agriculture;1
united nations;2
plants (botany);3
bioenergy;1
botany;1
computer analysis;1
crop;1
ecological niche;1
environmental mutagenesis;1
epigenetics;1
food security;2
genetic association;1
genomics;3
genotype;3
greenhouse gas;1
harvest;1
mathematical computing;1
metabolomics;1
multiomics;1
phenomics;1
proteomics;1
time series analysis;10
transcriptomics;1
agriculture;3
motivation;2
goals;1
calculations;1
causal chains;1
independence assumption;1
indirect effects;2
partial information;1
nature of faults;1
qualitative experiments;1
semantic levels;2
argumentation;11
integrating machines;1
intrees;2
svm classifiers;1
symbolic reasoning;8
aluminum;1
finite element method;1
plates (structural components);2
structural health monitoring;2
surface waves;2
1d cnn;1
health monitoring;1
lamb wave;1
local interpretable model-agnostic explanation;20
structural health;1
wave response;1
clinical outcome;2
distant metastasis;1
gene expression;4
genetic database;2
human cell;2
knowledge;5
metastasis;2
omics;1
personalized medicine;1
tumor growth;1
gene expression regulation;2
gene regulatory network;2
genetics;7
protein analysis;1
signal transduction;2
gene expression regulation, neoplastic;1
gene regulatory networks;2
neoplasm metastasis;1
protein interaction maps;1
flight simulators;1
markov processes;2
motion planning;3
autonomous navigation;1
deep reinforcement learning;4
hard problems;1
network-based;4
path planners;1
real-world;26
small unmanned aerial vehicles;1
unknown environments;1
unmanned aerial vehicle;1
intelligent buildings;4
accurate prediction;6
aging societies;1
cognitive decline;1
cognitive functions;2
collaborative approach;2
spatial disorientation;1
convex optimization problems;1
cox proportional hazards models;3
cumulative hazard function;3
linear combinations;2
numerical experiments;6
point of interest;2
survival model;2
test examples;1
human understanding;14
situation awareness;2
three-level;1
cleaning;2
data cleaning;1
different granularities;1
entity resolutions;3
integration problems;1
rule-based method;1
similarity scores;1
content analysis;2
foraging problems;1
information costs;1
video game;2
dextran 70;1
heparin;5
blood and hemopoietic system;1
bone;2
cardiovascular system;5
deep vein thrombosis;1
drug therapy;1
hip surgery;1
joint;1
patient;2
peripheral vascular system;1
postoperative thrombosis;1
prevention;1
therapy;1
thrombosis;1
total hip prosthesis;1
dextrans;1
factor x;1
factor xa;1
hip joint;1
postoperative complications;1
prospective studies;1
support, non-u.s. gov't;1
graph-based;5
graph-based machine learning;1
medical artificial intelligence;3
neural-symbolic learning and reasoning;2
robustness;5
coal;1
flotation;1
industrial plants;2
metallurgy;1
metals;2
coal flotation;1
column flotation;1
flotation circuits;1
industrial database;1
operating variables;1
separation efficiency;1
xgboost;10
classification rules;2
frequent pattern mining;1
modern machines;2
objective functions;2
random forest classification;1
interestingness;2
video clips;1
clinical decision support system;3
computer assisted diagnosis;9
decision making, computer-assisted;1
decision support systems, clinical;2
diagnosis, computer-assisted;4
behavioral changes;1
building intelligent systems;3
chronic disease;4
reasoner;3
rule based;12
behavior assessment;1
behavior change;1
clinical effectiveness;1
knowledge base;4
persuasive communication;2
reasoning;7
bayesian network;2
clinical practice;3
disease exacerbation;3
eye fundus;2
glaucoma;2
intraocular pressure;2
monitoring;5
nerve cell network;4
optic nerve disease;1
optical coherence tomography;4
perimetry;2
photography;1
retinal inner plexiform layer;1
retinal nerve fiber layer thickness;1
scanning laser ophthalmoscopy;1
scanning laser polarimetry;1
support vector machine;13
visual acuity;1
abstract thinking;1
human intelligence;3
individual objects;1
learning outcome;1
online studies;1
statistical correlation;1
inference engines;6
distributional semantic models;1
human-readable;4
inference models;1
navigation algorithms;1
world knowledge;2
hidden markov models;2
industry 4.0;5
intelligent robots;12
cloud-computing;2
hidden-markov models;1
industrial transformations;1
industry 40;1
intelligent machine;3
modern technologies;1
monitoring interpretation;1
self-monitoring;1
service robots;2
geographic information systems;2
hazards;5
australia;4
climatic variables;1
drought prediction;1
hybrid modelling;1
natural hazard;2
gis;1
modeling;6
new south wales;2
physical model;2
precipitation;2
meteorology;5
droughts;1
consulting companies;1
design metaphors;1
project lifecycle;1
qualitative interviews;1
age;2
human experiment;6
image quality;2
intelligence quotient;1
inter similarity;1
intra consistency;1
morphology;2
normal human;1
reliability;2
mental model;12
non-technical users;3
unintended consequences;1
back-ground knowledge;4
input-output data;1
state-of-the-art approach;5
synthetic data;3
binary classification problems;1
business sector;1
domain specific;5
feature engineerings;3
specific time;1
stock market forecasting;1
cooling systems;1
global warming;1
particle swarm optimization (pso);1
bio-inspired algorithms;1
cooling efficiency;1
evolutionary optimisation;1
intergovernmental panel for climate changes;1
meta-heuristic optimisation;1
operating condition;1
performance parameters;1
tropical rain forest;1
arid region;1
dew point;1
operations technology;1
parameter estimation;3
performance assessment;2
activation functions;2
building blockes;5
future applications;1
logical operators;1
mathematical frameworks;1
multi criteria decision making;1
multicriteria decision;1
squashing functions;1
petroleum reservoir evaluation;5
annotation;3
cooperative machine learning;1
data annotation;2
model training;1
training tools;1
work-flows;5
process control;7
business process;5
business process monitoring;2
common features;1
encodings;2
life log;1
predictive modeling;8
predictive process;10
state-of-the-art techniques;2
electric grounding;1
class prediction;3
in-buildings;3
negative examples;2
causality;4
different domains;12
image analysis;21
comprehensive analysis;4
qualitative and quantitative analysis;1
relevance analysis;1
technical contribution;1
free energy;1
isotopes;1
neutrons;1
separation;1
gradient boosting;17
light gradients;3
liquid drop model;1
machine learning algorithms;18
mass models;1
nuclear mass;1
nuclear mass models;1
root-mean-square deviations;1
separation energy;1
theoretical calculations;1
antidepressant medication;1
clinical environments;1
patient preferences;1
resource constraint;1
biomedical signal processing;2
electrocardiography;10
time series;17
electrocardiogram signal;1
functional mechanisms;1
learning architectures;4
medical time series;1
one-dimensional time series;1
electrocardiogram;3
feature detection;1
health data;2
performance indicator;2
recall;3
heart arrhythmia;5
arrhythmias, cardiac;2
ease-of-use;1
general class;2
hybrid forms;1
research focus;3
engineering perspective;1
non-functional requirements;1
quality aspects;1
requirement synergy;1
software-systems;3
system quality;1
confirmation bias;1
logical process;1
paradigm shifts;1
printing machinery;1
classification system;6
human being;4
image classification systems;2
image properties;3
low-level features;2
sparse dictionaries;3
book;1
dictionaries as topic;1
cardiology;2
computer assisted tomography;2
coronary artery calcium score;1
data base;1
myocardial perfusion imaging;1
nuclear medicine;2
pericardial fat;1
radiodiagnosis;1
x-ray computed tomography;2
analysis of data;1
research support;1
heart;2
hospital data processing;3
attention;5
electronic health;3
failure risk;1
health records;3
heart failure;1
inductive logic programming (ilp);5
feature values;7
growing demand;2
inductive logic;4
mere presences;1
spatial relations;4
learning to rank;2
clustering solutions;1
empirical parameters;1
scientific community;2
time efficiencies;2
uci machine learning repository;1
unsupervised decision tree;1
model approximations;1
scientific literature;2
extended form;1
human-robot systems;1
logical modeling;1
unmanned vehicles;1
levels of detail;2
on-line evaluation;1
operator training;2
remote location;2
'current;31
clinical application;1
narrative;2
practice guideline;1
electronic device;3
short term memory;2
discriminant analysis;4
memory, short-term;1
intelligent vehicle highway systems;2
cognitive ability;1
intelligent tutoring system;2
interactive simulations;1
perceived usefulness;2
personality traits;1
reading proficiency;1
user characteristics;1
gaussian distribution;2
feed-forward methods;1
feedforward model;1
gaussian kernels;1
gaussian mixture modeling;1
gaussians;1
learning technology;2
medical images processing;3
shapely additive explanation;3
privacy by design;5
impact assessments;2
legal implications;1
legal requirements;3
use case scenario;1
dimensionality reduction;5
engines;3
long short-term memory;18
turbofan engines;2
curse of dimensionality;1
health management;1
high-accuracy;14
overfitting;2
remaining useful lives;3
semantic web;10
systems analysis;3
real-time operation;1
system designers;4
user requirements;3
user-centric;8
computer vision system;1
data feature;3
extraction of information;1
multi layer perceptron;4
endoscopy;2
capsule endoscopy;1
final decision;3
health professionals;1
laparoscopy;1
